Rótulos de Linha;Aeronautics;Alpine Skiing;Alpinism;Archery;Art Competitions;Athletics;Badminton;Baseball;Basketball;Basque Pelota;Beach Volleyball;Biathlon;Bobsleigh;Boxing;Canoeing;Cricket;Croquet;Cross Country Skiing;Curling;Cycling;Diving;Equestrianism;Fencing;Figure Skating;Football;Freestyle Skiing;Golf;Gymnastics;Handball;Hockey;Ice Hockey;Jeu De Paume;Judo;Lacrosse;Luge;Military Ski Patrol;Modern Pentathlon;Motorboating;Nordic Combined;Polo;Racquets;Rhythmic Gymnastics;Roque;Rowing;Rugby;Rugby Sevens;Sailing;Shooting;Short Track Speed Skating;Skeleton;Ski Jumping;Snowboarding;Softball;Speed Skating;Swimming;Synchronized Swimming;Table Tennis;Taekwondo;Tennis;Trampolining;Triathlon;Tug-Of-War;Volleyball;Water Polo;Weightlifting;Wrestling;Total Geral
10;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
11;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
12;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;6
13;;;;;;;;;;;;;;;;;;;;;4;;;;;;;2;;;;;;;;;;;;;;;;2;;;;;1;;;;;;7;;;;;;;;;;;;16
14;;;;1;;;;;;;;;;;;;;;;;3;;;1;;;;21;;;;;;1;;;;;;;;;;10;;;1;;1;;;;;;36;;;;;;;;;;;;75
15;;;;1;;1;;;;;;;1;;1;;2;;;;9;;1;10;2;;;59;;;2;;;;;;;;;;;5;;4;;;2;;3;;;1;;1;89;;1;;;;;;;1;;;196
16;;2;;;;10;1;;;;;;1;1;;;;;;;15;;2;7;4;;;92;;1;6;;2;;;;;;;;;19;;11;;;4;3;1;;3;;;4;157;1;1;;1;;;;;1;;;350
17;;5;;10;1;25;;;2;;;;;15;3;;;;;5;28;;6;10;19;;3;77;2;4;3;;1;;2;;;;1;;;18;;7;;;1;5;19;;5;;;2;236;;1;3;3;;;1;2;4;4;1;534
18;;12;;13;;57;;1;11;;;1;1;34;11;;;1;;24;30;1;13;14;32;1;2;99;13;11;16;;5;;;;;;6;;;25;;21;1;;9;3;21;;7;4;1;7;293;4;1;6;7;1;;;15;12;8;5;860
19;;16;;13;;117;4;6;26;;1;2;2;70;31;;;5;;56;26;4;27;27;60;5;3;142;14;36;39;1;8;;3;;1;;3;;1;21;;74;1;2;16;13;33;1;11;5;1;14;309;5;7;6;8;4;;1;26;28;19;15;1369
